numGenes,type,score
3,inter,0.09111045770851711
3,intra,0.00205038078500297
3,inter,0.09105165147505634
3,inter,0.09295234248788364
3,intra,0.0014898328971210129
3,inter,0.09285137318255254
3,intra,0.0021480179652411113
3,inter,0.09105165147505634
3,intra,0.00044913102909582836
3,inter,0.09285137318255254
3,inter,0.09075762030775258
3,intra,0.007368318186260159
3,inter,0.09067921199647166
3,intra,0.008677269981880453
3,inter,0.09065960991865141
3,inter,0.091078431372549
3,intra,0.0009188660801564552
3,inter,0.09101960784313723
3,intra,0.0019528890678477406
3,inter,0.09101960784313723
3,intra,0.007468230694037126
3,inter,0.09113005978633737
3,intra,0.001094498192123483
3,inter,0.0910712535528766
3,intra,0.002174350714717166
3,inter,0.0910712535528766
3,intra,0.007641942734290974
3,intra,0.00044965786901274285
3,intra,0.00205038078500297
3,inter,0.09105165147505634
3,intra,0.0
3,inter,0.09285137318255254
3,intra,0.00044913102909582836
3,inter,0.09067921199647166
3,inter,0.09101960784313723
3,inter,0.0910712535528766
3,inter,0.09111045770851711
3,intra,0.0
3,inter,0.09105165147505634
3,intra,0.0014898328971210129
3,inter,0.09105165147505634
3,intra,0.007368318186260159
3,intra,0.0009188660801564552
3,intra,0.001094498192123483
3,inter,0.09105165147505634
3,inter,0.09097324316377531
3,intra,0.0007426952017981492
3,inter,0.09091443693031465
3,intra,0.0018320918059190339
3,inter,0.09091443693031465
3,intra,0.007368318186260159
3,intra,0.0005278592375366209
3,intra,0.0004690706537672229
3,inter,0.09091443693031465
3,intra,0.0007426952017981492
3,intra,0.014395937103232725
3,inter,0.08967950602763897
3,intra,0.014971171699403873
3,inter,0.09139741518578348
3,intra,0.014736636372520318
3,inter,0.08944428109379599
3,inter,0.08968627450980393
3,inter,0.08971871018327948
3,intra,0.014971171699403873
3,inter,0.08967950602763897
3,inter,0.08958149563853768
3,intra,0.0021480179652411113
3,inter,0.09105165147505634
3,intra,0.00044913102909582836
3,inter,0.09285137318255254
3,intra,0.0
3,inter,0.09065960991865141
3,inter,0.09101960784313723
3,inter,0.0910712535528766
3,intra,0.00044913102909582836
3,inter,0.09105165147505634
3,inter,0.09091443693031465
3,intra,0.014736636372520318
3,inter,0.09105165147505634
3,intra,0.0007817844229454085
3,inter,0.09099284524159557
3,intra,0.0020736863297765584
3,inter,0.09099284524159557
3,intra,0.007368318186260159
3,intra,0.0005278592375366209
3,intra,0.0004690706537672229
3,inter,0.09099284524159557
3,intra,0.0007817844229454085
3,intra,0.00035180299032544493
3,inter,0.08964030187199845
3,inter,0.09099284524159557
3,intra,0.0020733140963984376
3,inter,0.09283107963082204
3,intra,0.0
3,inter,0.09430554025773763
3,intra,4.274874425558295e-05
3,inter,0.09255204979609355
3,inter,0.09276668813050015
3,inter,0.09285254346426275
3,intra,0.0
3,inter,0.09283107963082204
3,inter,0.09268083279673744
3,intra,0.014976465554129237
3,intra,4.274874425558295e-05
3,inter,0.09274522429705945
3,intra,0.0030240952102233987
3,inter,0.09138488679800061
3,intra,0.0016403046280023537
3,inter,0.09323505654281095
3,intra,0.001347393087287596
3,inter,0.09095364108595516
3,inter,0.09135294117647064
3,inter,0.09140448887582087
3,intra,0.0016403046280023537
3,inter,0.09138488679800061
3,inter,0.0912476722532588
3,intra,0.014981931829280204
3,intra,0.001347393087287596
3,inter,0.09132608056453984
3,intra,0.0013893341883082222
3,inter,0.09075762030775258
3,intra,0.007368318186260159
3,inter,0.09067921199647166
3,intra,0.008677269981880453
3,inter,0.09065960991865141
3,intra,0.0
3,intra,0.007468230694037126
3,intra,0.007641942734290974
3,inter,0.09067921199647166
3,intra,0.007368318186260159
3,intra,0.007368318186260159
3,inter,0.08944428109379599
3,inter,0.09065960991865141
3,intra,0.007368318186260159
3,inter,0.09255204979609355
3,inter,0.09095364108595516
3,intra,0.0021480179652411113
3,inter,0.09111045770851711
3,intra,0.00037102128490529296
3,inter,0.0929119547657512
3,intra,0.00015621948838118183
3,inter,0.09075762030775258
3,inter,0.091078431372549
3,inter,0.09113005978633737
3,intra,0.00037102128490529296
3,inter,0.09111045770851711
3,inter,0.09097324316377531
3,intra,0.014756180983093947
3,intra,0.00015621948838118183
3,inter,0.09105165147505634
3,intra,0.0
3,intra,0.0012692833430970607
3,inter,0.09075762030775258
3,intra,0.001698886936145283
3,inter,0.09101244731941582
3,intra,0.0035344659246241417
3,inter,0.09287156704361876
3,intra,0.003241554383909384
3,inter,0.09065960991865141
3,inter,0.09098039215686271
3,inter,0.09103204939723608
3,intra,0.0035344659246241417
3,inter,0.09101244731941582
3,inter,0.09087523277467413
3,intra,0.014951627088830244
3,intra,0.003241554383909384
3,inter,0.09095364108595516
3,intra,0.0031847814470450375
3,intra,0.0033196641281000305
3,inter,0.09065960991865141
3,intra,0.0032806092560047073
3,inter,0.08033907574514632
3,intra,0.0
3,inter,0.08033907574514632
3,inter,0.07242038216560509
3,intra,0.0026726057906458767
3,inter,0.07242038216560509
3,intra,5.4244643341472276e-05
3,inter,0.08039376538146026
3,intra,5.4244643341472276e-05
3,inter,0.07248407643312105
3,inter,0.05438362260792162
3,intra,0.004977777777777748
3,inter,0.05438362260792162
3,intra,0.0069027341999103875
3,inter,0.05438362260792162
3,inter,0.05322652425456165
3,intra,0.000888888888888939
3,inter,0.05322652425456165
3,intra,0.002510085163603737
3,inter,0.05322652425456165
3,intra,0.004622222222222194
3,inter,0.08039376538146026
3,intra,0.002306248323947435
3,inter,0.08039376538146026
3,intra,0.002608972319440017
3,inter,0.08044845501777409
3,intra,0.00471111111111111
3,intra,0.0002666666666666373
3,intra,0.0
3,inter,0.08033907574514632
3,intra,0.0
3,inter,0.07242038216560509
3,intra,5.4244643341472276e-05
3,inter,0.05438362260792162
3,inter,0.05322652425456165
3,inter,0.08039376538146026
3,inter,0.08033907574514632
3,intra,0.0
3,inter,0.08033907574514632
3,intra,0.0026726057906458767
3,inter,0.08039376538146026
3,intra,0.004977777777777748
3,intra,0.000888888888888939
3,intra,0.002306248323947435
3,inter,0.08033907574514632
3,inter,0.053315531820204765
3,intra,0.000977777777777744
3,inter,0.053315531820204765
3,intra,0.002420439264903651
3,inter,0.053315531820204765
3,intra,0.00471111111111111
3,intra,8.88888888889161e-05
3,intra,0.0001777777777778322
3,inter,0.053315531820204765
3,intra,0.000977777777777744
3,intra,0.012649294245385412
3,inter,0.08100711548987416
3,intra,0.012649294245385412
3,inter,0.07357347784507495
3,intra,0.012703583061889234
3,inter,0.05554072096128171
3,inter,0.05447263017356474
3,inter,0.08062397372742203
3,intra,0.012649294245385412
3,inter,0.08100711548987416
3,inter,0.05456163773920786
3,intra,5.4244643341472276e-05
3,inter,0.08039376538146026
3,intra,5.4244643341472276e-05
3,inter,0.07248407643312105
3,intra,0.0
3,inter,0.05438362260792162
3,inter,0.05322652425456165
3,inter,0.08044845501777409
3,intra,5.4244643341472276e-05
3,inter,0.08039376538146026
3,inter,0.053315531820204765
3,intra,0.012703583061889234
3,inter,0.07940935192780973
3,intra,0.0010726736390452851
3,inter,0.07940935192780973
3,intra,0.00222717149220486
3,inter,0.07946404156412357
3,intra,0.004888888888888943
3,intra,0.0008000000000000229
3,intra,0.0019844462322338163
3,inter,0.07940935192780973
3,intra,0.0010726736390452851
3,intra,0.000888888888888939
3,inter,0.08007662835249041
3,inter,0.07946404156412357
3,intra,0.0
3,inter,0.053938584779706256
3,intra,0.0
3,inter,0.055475763016157975
3,intra,0.0
3,inter,0.05438362260792162
3,inter,0.05322652425456165
3,inter,0.05349354695149089
3,intra,0.0
3,inter,0.053938584779706256
3,inter,0.053315531820204765
3,intra,0.00824468085106378
3,intra,0.0
3,inter,0.052959501557632405
3,intra,0.0016815839435855295
3,inter,0.0809953513809133
3,intra,0.0016815839435855295
3,inter,0.07273885350318476
3,intra,0.0017358285869270018
3,inter,0.05438362260792162
3,inter,0.05322652425456165
3,inter,0.08105004101722724
3,intra,0.0016815839435855295
3,inter,0.0809953513809133
3,inter,0.053315531820204765
3,intra,0.0125950054288817
3,intra,0.0017358285869270018
3,inter,0.08006562756357671
3,intra,0.0
3,inter,0.08121410992616895
3,intra,0.007026012335746845
3,inter,0.08121410992616895
3,intra,0.008399618199172787
3,inter,0.0812687995624829
3,intra,0.0
3,intra,0.004622222222222194
3,intra,0.006436041834271933
3,inter,0.08121410992616895
3,intra,0.007026012335746845
3,intra,0.00471111111111111
3,inter,0.08128078817733986
3,inter,0.0812687995624829
3,intra,0.006704210244033226
3,inter,0.05438362260792162
3,inter,0.08187038556193604
3,intra,0.0
3,inter,0.08033907574514632
3,intra,0.0
3,inter,0.07242038216560509
3,intra,5.4244643341472276e-05
3,inter,0.05438362260792162
3,inter,0.05322652425456165
3,inter,0.08039376538146026
3,intra,0.0
3,inter,0.08033907574514632
3,inter,0.053315531820204765
3,intra,0.012649294245385412
3,intra,5.4244643341472276e-05
3,inter,0.07940935192780973
3,intra,0.0
3,intra,0.0016815839435855295
3,inter,0.08121410992616895
3,intra,0.0
3,inter,0.08033907574514632
3,intra,0.0
3,inter,0.07242038216560509
3,intra,5.4244643341472276e-05
3,inter,0.05438362260792162
3,inter,0.05322652425456165
3,inter,0.08039376538146026
3,intra,0.0
3,inter,0.08033907574514632
3,inter,0.053315531820204765
3,intra,0.012649294245385412
3,intra,5.4244643341472276e-05
3,inter,0.07940935192780973
3,intra,0.0
3,intra,0.0016815839435855295
3,inter,0.08121410992616895
3,intra,0.0
3,inter,0.07574171029668408
3,intra,5.7870370370416424e-05
3,inter,0.07574171029668408
3,inter,0.08072122052704578
3,intra,0.009906477312088713
3,inter,0.08072122052704578
3,intra,0.0008101851851851638
3,inter,0.07539267015706808
3,intra,0.0007523148148148584
3,inter,0.08065187239944527
3,inter,0.07539267015706808
3,intra,0.00546352804417316
3,inter,0.07539267015706808
3,intra,0.012054035330793189
3,inter,0.07504363001745196
3,inter,0.07533449680046533
3,intra,0.00040685847137456044
3,inter,0.07533449680046533
3,intra,0.009560096986491184
3,inter,0.07498545666084933
3,intra,0.00517291485033422
3,inter,0.0752763234438627
3,intra,0.0012786980528916025
3,inter,0.0752763234438627
3,intra,0.0087980602701766
3,inter,0.0749272833042467
3,intra,0.004882301656495169
3,intra,0.0009880848590525515
3,intra,5.7870370370416424e-05
3,inter,0.07574171029668408
3,intra,0.0
3,inter,0.08072122052704578
3,intra,0.0007523148148148584
3,inter,0.07539267015706808
3,inter,0.07533449680046533
3,inter,0.0752763234438627
3,inter,0.07574171029668408
3,intra,0.0
3,inter,0.07574171029668408
3,intra,0.009906477312088713
3,inter,0.07539267015706808
3,intra,0.00546352804417316
3,intra,0.00040685847137456044
3,intra,0.0012786980528916025
3,inter,0.07574171029668408
3,inter,0.07539267015706808
3,intra,0.00034873583260675023
3,inter,0.07539267015706808
3,intra,0.009490820921371657
3,inter,0.07504363001745196
3,intra,0.00511479221156641
3,intra,5.812263876781021e-05
3,intra,0.0009299622202848523
3,inter,0.07539267015706808
3,intra,0.00034873583260675023
3,intra,0.011689814814814792
3,inter,0.07440372309482257
3,intra,0.011631944444444486
3,inter,0.0803051317614425
3,intra,0.011226851851851904
3,inter,0.07440372309482257
3,inter,0.07399650959860382
3,inter,0.07382198952879582
3,intra,0.011631944444444486
3,inter,0.07440372309482257
3,inter,0.07405468295520656
3,intra,0.0008101851851851638
3,inter,0.07539267015706808
3,intra,0.0007523148148148584
3,inter,0.08065187239944527
3,intra,0.0
3,inter,0.07504363001745196
3,inter,0.07498545666084933
3,inter,0.0749272833042467
3,intra,0.0007523148148148584
3,inter,0.07539267015706808
3,inter,0.07504363001745196
3,intra,0.011226851851851904
3,inter,0.07515997673065733
3,intra,0.0006974716652136115
3,inter,0.07515997673065733
3,intra,0.009906477312088713
3,inter,0.07481093659104132
3,intra,0.00546352804417316
3,intra,0.00040685847137456044
3,intra,0.0012786980528916025
3,inter,0.07515997673065733
3,intra,0.0006974716652136115
3,intra,0.00034873583260675023
3,inter,0.07382198952879582
3,inter,0.07481093659104132
3,intra,5.7870370370416424e-05
3,inter,0.07574171029668408
3,intra,0.0
3,inter,0.08072122052704578
3,intra,0.0007523148148148584
3,inter,0.07539267015706808
3,inter,0.07533449680046533
3,inter,0.0752763234438627
3,intra,0.0
3,inter,0.07574171029668408
3,inter,0.07539267015706808
3,intra,0.011631944444444486
3,intra,0.0007523148148148584
3,inter,0.07515997673065733
3,intra,0.00017361111111113825
3,inter,0.07574171029668408
3,intra,0.00011574074074072183
3,inter,0.08065187239944527
3,intra,0.0008680555555555802
3,inter,0.07539267015706808
3,inter,0.07533449680046533
3,inter,0.0752763234438627
3,intra,0.00011574074074072183
3,inter,0.07574171029668408
3,inter,0.07539267015706808
3,intra,0.011747685185185208
3,intra,0.0008680555555555802
3,inter,0.07515997673065733
3,intra,0.00011574074074072183
3,inter,0.07539267015706808
3,intra,0.00546352804417316
3,inter,0.07539267015706808
3,intra,0.012054035330793189
3,inter,0.07504363001745196
3,intra,0.0
3,intra,0.00517291485033422
3,intra,0.004882301656495169
3,inter,0.07539267015706808
3,intra,0.00546352804417316
3,intra,0.00511479221156641
3,inter,0.07440372309482257
3,inter,0.07504363001745196
3,intra,0.00546352804417316
3,inter,0.07539267015706808
3,inter,0.07539267015706808
